Preguntas,Respuesta_Correctas,Alternativa_2_(Incorrecta),Alternativa_3_(Incorrecta),Alternativa_4_(Incorrecta),Categoria,Dificultad
¿Quién fue el héroe que mató a la hidra de Lerna en la mitología griega?,Hércules,Poseidón,Teseo,Ícaro,Mitologia Griega,Facil
¿Quién fue el héroe que mató al Minotauro en la mitología griega?,Teseo,Hércules,Hydra,Ariadna,Mitologia Griega,Facil
¿Quién es el dios del mar en la mitología griega? ,Poseidón,Neptuno,Saturno,Chronos,Mitologia Griega,Facil
¿Quién es el dios de la guerra en la mitología griega? ,Ares,Kratos,Thor,Hades,Mitologia Griega,Facil
¿Quién es el dios del trueno en la mitología griega?,Zeus,Thor,Ateneo,Odin,Mitologia Griega,Facil
¿Quién es la diosa de la sabiduría en la mitología griega? ,Atenea,Venus,Afrodita,Gea,Mitologia Griega,Facil
¿Como se llama el reino del Dios de los muertos en la mitologia griega?,Hades,Tártaro,Caronte,Hermes,Mitologia Griega,Facil
¿Quién fue la mujer que se enamoró de su propia imagen en la mitología griega?,Narciso,Dédalo,Hydra,Afrodita,Mitologia Griega,Facil
¿Qué personaje bíblico recibió los diez mandamientos en el Monte Sinaí?,Moisés ,Noé,Jesús,Ramsés,Biblia,Facil
¿Qué discípulo negó tres veces conocer a Jesús?,Pedro ,Tomás,Pablo,Santiago,Biblia,Facil
¿Quién es el personaje bíblico que se enfrentó al gigante Goliat?,David,Salomón,Moisés,Jacob,Biblia,Facil
¿Qué personaje bíblico dividio el Mar Rojo?,Moisés ,Ramsés,Ptolomeo,Jacob,Biblia,Facil
¿Quién era el rey de Israel que se consideraba el más sabio de todos?,Salomón,David,Abraham,Moisés,Biblia,Facil
¿Quién construyó el arca para salvar a su familia y a los animales del diluvio?,Noé ,Simeón,Jacob,Moisés,Biblia,Facil
¿Quiénes fueron los primeros humanos creados por Dios según la Biblia?,Adán y Eva,Los Egipcios,El pueblo de israel,Moises y su familia,Biblia,Facil
¿Quién fue el profeta que recibió la revelación del Apocalipsis?,Juan,Marcos,Lucas,Mateo,Biblia,Facil
¿Qué animal es considerado sagrado por los pueblos andinos?,La Llama,La Alpaca,El Camello,El Cuy,Mitologia Latina,Facil
¿Cómo se llama el cuento latinoamericano que cuenta la historia de un hombre que vende su alma al diablo a cambio de riquezas y poder?,La Pata del Diablo,Tlaloc,Cerro Uritorco,Paititi,Mitologia Latina,Facil
"¿Cómo se llama el cuento latinoamericano que cuenta la historia de una mujer que busca de sus hijos, a los que ella misma asesinó?",La llorona,Chalchiuhtlicue,Chichen Itza,Pachacamac,Mitologia Latina,Facil
"¿De qué país es originario el cuento popular latinoamericano ""El Silbón""?",Venezuela,Panamá,Guatemala,Nicaragua,Mitologia Latina,Facil
¿Cuál es el título de la novela de Isabel Allende que cuenta la historia de una familia chilena durante la dictadura de Pinochet?,La Casa de los Espíritus,Los pasos perdidos,El libro de los abrazos,El amor en los tiempos del cólera,Autores latinos,Facil
¿Cuál es el título de la novela de Julio Cortázar que narra la historia de Horacio Oliveira?,Rayuela ,El amor en los tiempos del Facebook,Santa Evita,La casa de los espíritus,Autores latinos,Facil
"¿Quién escribió ""La fiesta del chivo""?",Mario Vargas Llosa,José María Arguedas,José Emilio Pacheco,Clarice Lispector,Autores latinos,Facil
¿Cuál es el título de la novela de Jorge Luis Borges que cuenta la historia de un hombre que se encuentra en una biblioteca infinita?,La biblioteca de Babel,El jardín de los senderos que se bifurcan,"Tlön, Uqbar, Orbis Tertius",Pedro y el capitán,Autores latinos,Facil
¿Cuál es el título de la primera novela de Rose Marie Tapia?,Caminos y encuentros,2666,El aleph engordado,Memoria de mis putas tristes,Autores latinos,Facil
"¿Quién escribió ""Tierra Firme""?",Octavio Méndez Pereira,José Donoso,Roberto Bolaño,Sergio Ramírez,Autores latinos,Facil
¿Cuál es el título de la novela de Rose Marie Tapia que narra el impacto de la crisis económica y social en una familia común?,Niña Bella,La invención de Morel,Los cachorros,La pasión según G.H.,Autores latinos,Facil
¿De qué país es originaria la escritora Rose Marie Tapia?,Panamá,Costa Rica,Colombia,Nicaragua,Autores latinos,Facil
"¿Quién escribió ""La ciudad y los perros""?",Mario Vargas Llosa,Gabriel García Márquez,Carlos Fuentes,Roberto Bolaño,Autores latinos,Facil
